district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Lichterfelde,"Woltmannweg 53, Lichterfelde, Berlin",Wohnungstausch: Woltmannweg 53,Wohnungsswap.de,720,67,2,0,0,0,0,0,,0,0
Heinersdorf,"Tiniusstraße 58, Heinersdorf, Berlin",Wohnungstausch: Tiniusstraße 58,Wohnungsswap.de,1110,90,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Paul-Robeson-Straße 11, Prenzlauer Berg, Berlin",Wohnungstausch: Paul-Robeson-Straße 11,Wohnungsswap.de,440,34,1,0,0,0,0,0,,0,0
Lichtenberg,"Normannenstraße a 40, Lichtenberg (Ortsteil), Berlin",Wohnungstausch: Normannenstraße 40a,Wohnungsswap.de,1270,108,3,0,0,0,0,0,,0,0
Friedrichshain,"Holteistraße 11, Friedrichshain, Berlin",Wohnungstausch: Holteistraße 11,Wohnungsswap.de,1130,69,2,0,0,0,0,0,,0,0
Kreuzberg,"Mittenwalder Straße 61, Kreuzberg, Berlin",Wohnungstausch: Mittenwalder Straße 61,Wohnungsswap.de,590,52,2,0,0,0,0,0,,0,0
Friedrichshain,"Karl-Marx-Allee 121, Friedrichshain, Berlin",Wohnungstausch: Karl-Marx-Allee 121,Wohnungsswap.de,530,39,1,0,0,0,1,0,,0,0
Adlershof,"Newtonstraße 8, Adlershof, Berlin",Wohnungstausch: Newtonstraße 8,Wohnungsswap.de,1170,71,2,0,0,0,0,0,,0,0
Wedding,"Barfusstraße 19, Wedding, Berlin",Wohnungstausch: Barfusstraße 19,Wohnungsswap.de,920,56,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Winsstraße 25, Prenzlauer Berg, Berlin",Wohnungstausch: Winsstraße 25,Wohnungsswap.de,1440,71,2,0,0,0,0,0,,0,0
Pankow,"Bleicheroder Straße 21, Pankow (Ortsteil), Berlin",Wohnungstausch: Bleicheroder Straße 21,Wohnungsswap.de,790,62,2,0,0,0,0,0,,0,0
Spandau,"Hügelschanze 21, Spandau (Ortsteil), Berlin",Wohnungstausch: Hügelschanze 21,Wohnungsswap.de,720,62,2,0,0,0,0,0,,0,0
Marzahn,"Belziger Ring 54, Marzahn, Berlin",Wohnungstausch: Belziger Ring 54,Wohnungsswap.de,630,68,3,0,0,0,0,0,,0,0
Weißensee,"Meyerbeerstraße 24, Weißensee, Berlin",Wohnungstausch: Meyerbeerstraße 24,Wohnungsswap.de,1510,80,3,0,0,0,1,0,,0,0
Friedrichshain,"Niederbarnimstraße 17, Friedrichshain, Berlin",Wohnungstausch: Niederbarnimstraße 17,Wohnungsswap.de,670,48,1,0,0,0,0,0,,0,0
Neukölln,"Pflügerstraße 16, Neukölln (Ortsteil), Berlin",Wohnungstausch: Pflügerstraße 16,Wohnungsswap.de,810,76,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Lychener Straße 13, Prenzlauer Berg, Berlin",Wohnungstausch: Lychener Straße 13,Wohnungsswap.de,820,40,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Storkower Straße 2, Prenzlauer Berg, Berlin",Wohnungstausch: Storkower Straße 2,Wohnungsswap.de,670,65,3,0,0,0,0,0,,0,0
Rummelsburg,"Weitlingstraße 41, Rummelsburg, Berlin",Wohnungstausch: Weitlingstraße 41,Wohnungsswap.de,1030,60,2,0,0,0,0,0,,0,0
Neukölln,"Sonnenallee 18, Neukölln (Ortsteil), Berlin",Wohnungstausch: Sonnenallee 18,Wohnungsswap.de,970,66,2,0,0,0,0,0,,0,0
Charlottenburg,"Wilmersdorfer Straße 93, Charlottenburg, Berlin",Wohnungstausch: Wilmersdorfer Straße 93,Wohnungsswap.de,710,57,2,0,0,0,0,0,,0,0
Friedrichshain,"Friedenstraße 52, Friedrichshain, Berlin",Wohnungstausch: Friedenstraße 52,Wohnungsswap.de,780,52,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schönhauser Allee 150, Prenzlauer Berg, Berlin",Wohnungstausch: Schönhauser Allee 150,Wohnungsswap.de,1950,87,3,0,0,0,0,0,,0,0
Wilmersdorf,"Uhlandstraße 101, Wilmersdorf, Berlin",Wohnungstausch: Uhlandstraße 101,Wohnungsswap.de,880,67,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Allee 214, Prenzlauer Berg, Berlin",Wohnungstausch: Prenzlauer Allee 214,Wohnungsswap.de,1050,78,2,0,0,0,0,0,,0,0
Lichtenberg,"Schulze-Boysen-Straße 57, Lichtenberg (Ortsteil), Berlin",Wohnungstausch: Schulze-Boysen-Straße 57,Wohnungsswap.de,950,67,3,0,0,0,0,0,,0,0
Kreuzberg,"Skalitzer Str. 136, Kreuzberg, Berlin",Wohnungstausch: Skalitzer Str. 136,Wohnungsswap.de,480,46,1,0,0,0,0,0,,0,0
Oberschöneweide,"Fritz-Kirsch-Zeile 7, Oberschöneweide, Berlin",Wohnungstausch: Fritz-Kirsch-Zeile 7,Wohnungsswap.de,650,67,2,0,0,0,0,0,,0,0
Wilmersdorf,"Trautenaustraße 20, Wilmersdorf, Berlin",Wohnungstausch: Trautenaustraße 20,Wohnungsswap.de,590,40,1,0,0,0,1,0,,0,0
Zehlendorf,"Berliner Straße 76, Zehlendorf, Berlin",Wohnungstausch: Berliner Straße 76,Wohnungsswap.de,780,65,3,0,0,0,0,0,,0,0
Kreuzberg,"Blücherstraße 33, Kreuzberg, Berlin",Wohnungstausch: Blücherstraße 33,Wohnungsswap.de,540,29,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Erich-Weinert-Straße 9, Prenzlauer Berg, Berlin",Wohnungstausch: Erich-Weinert-Straße 9,Wohnungsswap.de,740,43,1,0,0,0,0,0,,0,0
Neukölln,"Herrnhuter Weg 17, Neukölln (Ortsteil), Berlin",Wohnungstausch: Herrnhuter Weg 17,Wohnungsswap.de,790,55,1,0,0,0,0,0,,0,0
Schöneberg,"Martin-Luther-Straße 83, Schöneberg, Berlin",Wohnungstausch: Martin-Luther-Straße 83,Wohnungsswap.de,850,50,2,0,0,0,0,0,,0,0
Tempelhof,"Schaffhausener Straße 65, Tempelhof, Berlin",Wohnungstausch: Schaffhausener Straße 65,Wohnungsswap.de,650,55,2,0,0,0,0,0,,0,0
Moabit,"Lehrter Straße 72, Moabit, Berlin",Wohnungstausch: Lehrter Straße 72,Wohnungsswap.de,1140,72,3,0,0,0,1,0,,0,0
Kreuzberg,"Oranienstraße 168, Kreuzberg, Berlin",Wohnungstausch: Oranienstraße 168,Wohnungsswap.de,1010,100,4,0,0,0,0,0,,0,0
Schöneberg,"Martin-Luther-Straße 134, Schöneberg, Berlin",Wohnungstausch: Martin-Luther-Straße 134,Wohnungsswap.de,770,75,3,0,0,0,0,0,,0,0
Neukölln,"Pannierstraße 15, Neukölln (Ortsteil), Berlin",Wohnungstausch: Pannierstraße 15,Wohnungsswap.de,590,63,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schliemannstraße 24, Prenzlauer Berg, Berlin",Wohnungstausch: Schliemannstraße 24,Wohnungsswap.de,860,96,3,0,0,0,0,0,,0,0
Friedrichsfelde,"Dolgenseestraße b 8, Friedrichsfelde, Berlin",Wohnungstausch: Dolgenseestraße 8b,Wohnungsswap.de,840,62,2,0,0,0,0,0,,0,0
Charlottenburg-Nord,"Dahrendorfzeile 5, Charlottenburg-Nord, Berlin",Wohnungstausch: Dahrendorfzeile 5,Wohnungsswap.de,1820,76,4,0,0,0,0,0,,0,0
Schöneberg,"Eisenacher Str. 103, Schöneberg, Berlin",Wohnungstausch: Eisenacher Str. 103,Wohnungsswap.de,1640,106,4,0,0,0,0,0,,0,0
Oberschöneweide,"Fritz-Kirsch-Zeile 7, Oberschöneweide, Berlin",Wohnungstausch: Fritz-Kirsch-Zeile 7,Wohnungsswap.de,630,57,2,0,0,0,0,0,,0,0
Köpenick,"Mahlsdorfer Straße A 56, Köpenick, Berlin",Wohnungstausch: Mahlsdorfer Straße 56A,Wohnungsswap.de,1630,96,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Käthe-Niederkirchner-Straße 30, Prenzlauer Berg, Berlin",Wohnungstausch: Käthe-Niederkirchner-Straße 30,Wohnungsswap.de,910,60,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schönhauser Allee 72, Prenzlauer Berg, Berlin",Wohnungstausch: Schönhauser Allee 72,Wohnungsswap.de,1390,72,2,0,0,0,0,0,,0,0
Friedrichshain,"Heidenfeldstraße 4, Friedrichshain, Berlin",Wohnungstausch: Heidenfeldstraße 4,Wohnungsswap.de,1250,83,3,0,0,0,0,0,,0,0
Alt-Treptow,"Beermannstraße 5, Alt-Treptow, Berlin",Wohnungstausch: Beermannstraße 5,Wohnungsswap.de,840,68,3,0,0,0,1,0,,0,0
Pankow,"Mendelstraße 6, Pankow (Ortsteil), Berlin",Wohnungstausch: Mendelstraße 6,Wohnungsswap.de,1400,89,4,0,0,0,1,0,,0,0
Friedenau,"Stubenrauchstraße 56, Friedenau, Berlin",Wohnungstausch: Stubenrauchstraße 56,Wohnungsswap.de,750,50,2,0,0,0,0,0,,0,0
Moabit,"Bredowstraße A 20, Moabit, Berlin",Wohnungstausch: Bredowstraße 20A,Wohnungsswap.de,840,66,3,0,0,0,0,0,,0,0
Kreuzberg,"Eisenbahnstraße 10, Kreuzberg, Berlin",Wohnungstausch: Eisenbahnstraße 10,Wohnungsswap.de,630,46,1,0,0,0,0,0,,0,0
Französisch Buchholz,"Rosenthaler Straße A 6, Französisch Buchholz, Berlin",Wohnungstausch: Rosenthaler Straße 6A,Wohnungsswap.de,840,56,2,0,0,0,0,0,,0,0
Kreuzberg,"Fidicinstraße 23, Kreuzberg, Berlin",Wohnungstausch: Fidicinstraße 23,Wohnungsswap.de,830,83,3,0,0,0,0,0,,0,0
Neukölln,"Weserstraße 18, Neukölln (Ortsteil), Berlin",Wohnungstausch: Weserstraße 18,Wohnungsswap.de,790,40,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Raumerstraße 12, Prenzlauer Berg, Berlin",Wohnungstausch: Raumerstraße 12,Wohnungsswap.de,960,65,2,0,0,0,0,0,,0,0
Charlottenburg,"Mierendorffplatz 10, Charlottenburg, Berlin",Wohnungstausch: Mierendorffplatz 10,Wohnungsswap.de,1070,86,3,0,0,0,0,0,,0,0
Friedrichshain,"Rigaer Straße  D 18, Friedrichshain, Berlin",Wohnungstausch: Rigaer Straße 18 D,Wohnungsswap.de,1030,66,2,0,0,0,0,0,,0,0
Neukölln,"Hermannstraße C 114, Neukölln (Ortsteil), Berlin",Wohnungstausch: Hermannstraße 114C,Wohnungsswap.de,980,57,2,0,0,0,0,0,,0,0
Friedrichshain,"Gürtelstraße 28, Friedrichshain, Berlin",Wohnungstausch: Gürtelstraße 28,Wohnungsswap.de,920,56,2,0,0,0,1,0,,0,0
Prenzlauer Berg,"Pasteurstraße 25, Prenzlauer Berg, Berlin",Wohnungstausch: Pasteurstraße 25,Wohnungsswap.de,1720,77,3,0,0,0,0,0,,0,0
Moabit,"Quitzowstraße 129, Moabit, Berlin",Wohnungstausch: Quitzowstraße 129,Wohnungsswap.de,1010,80,2,0,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 50, Kreuzberg, Berlin",Wohnungstausch: Hasenheide 50,Wohnungsswap.de,890,42,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Gleimstraße 15, Prenzlauer Berg, Berlin",Wohnungstausch: Gleimstraße 15,Wohnungsswap.de,1010,70,2,0,0,0,0,0,,0,0
Friedrichshain,"Corinthstraße 59, Friedrichshain, Berlin",Wohnungstausch: Corinthstraße 59,Wohnungsswap.de,910,59,2,0,0,0,0,0,,0,0
Wedding,"Willdenowstraße 5, Wedding, Berlin",Wohnungstausch: Willdenowstraße 5,Wohnungsswap.de,1250,100,2,0,0,0,0,0,,0,0
Alt-Treptow,"Kiefholzstraße 17, Alt-Treptow, Berlin",Wohnungstausch: Kiefholzstraße 17,Wohnungsswap.de,570,58,2,0,0,0,0,0,,0,0
Schöneberg,"Wartburgstraße 4, Schöneberg, Berlin",Wohnungstausch: Wartburgstraße 4,Wohnungsswap.de,1080,65,2,0,0,0,0,0,,0,0
Friedrichshain,"Dolziger Straße 9, Friedrichshain, Berlin",Wohnungstausch: Dolziger Straße 9,Wohnungsswap.de,820,64,2,0,0,0,0,0,,0,0
Mariendorf,"Tauernallee 20, Mariendorf, Berlin",Wohnungstausch: Tauernallee 20,Wohnungsswap.de,880,62,2,0,0,0,0,0,,0,0
Moabit,"Rostocker Straße 43, Moabit, Berlin",Wohnungstausch: Rostocker Straße 43,Wohnungsswap.de,1250,70,2,0,0,0,0,0,,0,0
Niederschönhausen,"Friedrich-Engels-Straße 3, Niederschönhausen, Berlin",Wohnungstausch: Friedrich-Engels-Straße 3,Wohnungsswap.de,1020,50,2,0,0,0,1,0,,0,0
Schöneberg,"Bautzener Straße 11, Schöneberg, Berlin",Wohnungstausch: Bautzener Straße 11,Wohnungsswap.de,580,53,2,0,0,0,0,0,,0,0
Neukölln,"Mahlower Str. 2, Neukölln (Ortsteil), Berlin",Wohnungstausch: Mahlower Str. 2,Wohnungsswap.de,1100,92,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Chodowieckistraße 4, Prenzlauer Berg, Berlin",Wohnungstausch: Chodowieckistraße 4,Wohnungsswap.de,1250,67,2,0,0,0,1,0,,0,0
Britz,"Britzer Damm 1, Britz, Berlin",Wohnungstausch: Britzer Damm 1,Wohnungsswap.de,720,60,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Stargarder Straße 39, Prenzlauer Berg, Berlin",Wohnungstausch: Stargarder Straße 39,Wohnungsswap.de,760,41,1,0,0,0,0,0,,0,0
Wilmersdorf,"Blissestraße 60, Wilmersdorf, Berlin",Wohnungstausch: Blissestraße 60,Wohnungsswap.de,1070,86,3,0,0,0,0,0,,0,0
Friedrichshain,"Libauer Straße 17, Friedrichshain, Berlin",Wohnungstausch: Libauer Straße 17,Wohnungsswap.de,1380,85,2,0,0,0,0,0,,0,0
Tegel,"Bottroper Weg 7, Tegel, Berlin",Wohnungstausch: Bottroper Weg 7,Wohnungsswap.de,700,65,3,0,0,0,0,0,,0,0
Friedrichshain,"Str. der Pariser Kommune 27, Friedrichshain, Berlin",Wohnungstausch: Str. der Pariser Kommune 27,Wohnungsswap.de,1120,72,3,0,0,0,0,0,,0,0
Niederschönhausen,"Friedrich-Engels-Straße 63, Niederschönhausen, Berlin",Wohnungstausch: Friedrich-Engels-Straße 63,Wohnungsswap.de,830,60,2,0,0,0,0,0,,0,0
Friedrichshain,"Pettenkoferstraße 52, Friedrichshain, Berlin",Wohnungstausch: Pettenkoferstraße 52,Wohnungsswap.de,490,51,2,0,0,0,0,0,,0,0
Alt-Treptow,"Karl-Kunger-Straße 63, Alt-Treptow, Berlin",Wohnungstausch: Karl-Kunger-Straße 63,Wohnungsswap.de,830,63,2,0,0,0,0,0,,0,0
Friedrichshain,"Neue Bahnhofstraße 20, Friedrichshain, Berlin",Wohnungstausch: Neue Bahnhofstraße 20,Wohnungsswap.de,2020,120,4,0,0,0,0,0,,0,0
Neukölln,"Herrfurthstraße a 20, Neukölln (Ortsteil), Berlin",Wohnungstausch: Herrfurthstraße 20a,Wohnungsswap.de,800,53,2,0,0,0,0,0,,0,0
Moabit,"Rostocker Straße 21, Moabit, Berlin",Wohnungstausch: Rostocker Straße 21,Wohnungsswap.de,880,70,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schieritzstraße 3, Prenzlauer Berg, Berlin",Wohnungstausch: Schieritzstraße 3,Wohnungsswap.de,750,50,2,0,0,0,0,0,,0,0
Neukölln,"Weserstr. 135, Neukölln (Ortsteil), Berlin",Wohnungstausch: Weserstr. 135,Wohnungsswap.de,640,50,2,0,0,0,1,0,,0,0
Wilmersdorf,"Johannisberger Straße 82, Wilmersdorf, Berlin",Wohnungstausch: Johannisberger Straße 82,Wohnungsswap.de,1620,115,3,0,0,0,0,0,,0,0
Friedrichshain,"Glasbläserallee 25, Friedrichshain, Berlin",Wohnungstausch: Glasbläserallee 25,Wohnungsswap.de,530,36,1,0,0,0,0,0,,0,0
Lichtenberg,"Frankfurter Allee 243, Lichtenberg (Ortsteil), Berlin",Wohnungstausch: Frankfurter Allee 243,Wohnungsswap.de,1030,105,3,0,0,0,0,0,,0,0
Wedding,"Seestraße 55, Wedding, Berlin",Wohnungstausch: Seestraße 55,Wohnungsswap.de,760,62,2,0,0,0,1,0,,0,0
Neukölln,"Kienitzer Straße 21, Neukölln (Ortsteil), Berlin",Wohnungstausch: Kienitzer Straße 21,Wohnungsswap.de,680,65,2,0,0,0,1,0,,0,0
Tiergarten,"Kluckstraße 33, Tiergarten, Berlin",Wohnungstausch: Kluckstraße 33,Wohnungsswap.de,680,41,1,0,0,0,0,0,,0,0
Borsigwalde,"Drostestraße 21, Borsigwalde, Berlin",Wohnungstausch: Drostestraße 21,Wohnungsswap.de,820,55,2,0,0,0,0,0,,0,0
Steglitz,"Vionvillestraße A 21, Steglitz, Berlin",Wohnungstausch: Vionvillestraße 21A,Wohnungsswap.de,480,36,1,0,0,0,0,0,,0,0
Wedding,"Seestraße 17, Wedding, Berlin",Wohnungstausch: Seestraße 17,Wohnungsswap.de,1170,70,2,0,0,0,0,0,,0,0
Wedding,"Brüsseler Str. 2, Wedding, Berlin",Wohnungstausch: Brüsseler Str. 2,Wohnungsswap.de,850,70,2,0,0,0,0,0,,0,0
Friedrichshain,"Straßmannstraße 37, Friedrichshain, Berlin",Wohnungstausch: Straßmannstraße 37,Wohnungsswap.de,1030,83,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Bötzowstraße 29, Prenzlauer Berg, Berlin",Wohnungstausch: Bötzowstraße 29,Wohnungsswap.de,1380,69,2,0,0,0,0,0,,0,0
Neu-Hohenschönhausen,"Warnitzer Straße 5, Neu-Hohenschönhausen, Berlin",Wohnungstausch: Warnitzer Straße 5,Wohnungsswap.de,650,33,1,0,0,0,1,0,,0,0
Mitte,"Neue Grünstraße 10, Mitte (Ortsteil), Berlin",Wohnungstausch: Neue Grünstraße 10,Wohnungsswap.de,770,34,2,0,0,0,0,0,,0,0
Wannsee,"Kronprinzessinnenweg 10, Wannsee, Berlin",Wohnungstausch: Kronprinzessinnenweg 10,Wohnungsswap.de,780,65,2,0,0,0,0,0,,0,0
Mitte,"Köpenicker Straße 99, Mitte (Ortsteil), Berlin",Wohnungstausch: Köpenicker Straße 99,Wohnungsswap.de,970,70,3,0,0,0,1,0,,0,0
Steglitz,"Sedanstraße 3, Steglitz, Berlin",Wohnungstausch: Sedanstraße 3,Wohnungsswap.de,1480,65,2,0,0,0,0,0,,0,0
Mitte,"Torstraße 94, Mitte (Ortsteil), Berlin",Wohnungstausch: Torstraße 94,Wohnungsswap.de,670,49,2,0,0,0,0,0,,0,0
Neukölln,"Sonnenallee 281, Neukölln (Ortsteil), Berlin",Wohnungstausch: Sonnenallee 281,Wohnungsswap.de,960,68,3,0,0,0,1,0,,0,0
Mitte,"Zinnowitzer Str. 9, Mitte (Ortsteil), Berlin",Wohnungstausch: Zinnowitzer Str. 9,Wohnungsswap.de,1020,53,2,0,0,0,0,0,,0,0
Wedding,"Schererstraße 5, Wedding, Berlin",Wohnungstausch: Schererstraße 5,Wohnungsswap.de,580,46,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Hufelandstraße 30, Prenzlauer Berg, Berlin",Wohnungstausch: Hufelandstraße 30,Wohnungsswap.de,650,42,1,0,0,0,0,0,,0,0
Neukölln,"Sanderstraße 26, Neukölln (Ortsteil), Berlin",Wohnungstausch: Sanderstraße 26,Wohnungsswap.de,800,46,2,0,0,0,0,0,,0,0
Kreuzberg,"Muskauer Straße 55, Kreuzberg, Berlin",Wohnungstausch: Muskauer Straße 55,Wohnungsswap.de,1580,111,3,0,0,0,0,0,,0,0
Friedrichshain,"Pintschstraße 4, Friedrichshain, Berlin",Wohnungstausch: Pintschstraße 4,Wohnungsswap.de,920,54,2,0,0,0,1,0,,0,0
Wedding,"Lynarstraße 39, Wedding, Berlin",Wohnungstausch: Lynarstraße 39,Wohnungsswap.de,640,62,2,0,0,0,1,0,,0,0
Gesundbrunnen,"Stettiner Straße 17, Gesundbrunnen, Berlin",Wohnungstausch: Stettiner Straße 17,Wohnungsswap.de,940,65,2,0,0,0,1,0,,0,0
Pankow,"Hallandstraße 37, Pankow (Ortsteil), Berlin",Wohnungstausch: Hallandstraße 37,Wohnungsswap.de,780,63,2,0,0,0,0,0,,0,0
Neukölln,"Flughafenstraße 76, Neukölln (Ortsteil), Berlin",Wohnungstausch: Flughafenstraße 76,Wohnungsswap.de,1300,81,3,0,0,0,0,0,,0,0
Lichtenberg,"Freiastraße 3, Lichtenberg (Ortsteil), Berlin",Wohnungstausch: Freiastraße 3,Wohnungsswap.de,580,51,2,0,0,0,0,0,,0,0
Mitte,"Köpenicker Straße 40, Mitte (Ortsteil), Berlin",Wohnungstausch: Köpenicker Straße 40,Wohnungsswap.de,1440,51,2,0,0,0,1,0,,0,0
Schöneberg,"Münchener Str. / 2627, Schöneberg, Berlin",Wohnungstausch: Münchener Str. 26/27,Wohnungsswap.de,1080,55,2,0,0,0,0,0,,0,0
Pankow,"Kreuzstraße 14, Pankow (Ortsteil), Berlin",Wohnungstausch: Kreuzstraße 14,Wohnungsswap.de,1540,92,3,0,0,0,0,0,,0,0
Kreuzberg,"Manteuffelstraße 117, Kreuzberg, Berlin",Wohnungstausch: Manteuffelstraße 117,Wohnungsswap.de,540,49,2,0,0,0,0,0,,0,0
Friedrichshain,"Markgrafendamm 3, Friedrichshain, Berlin",Wohnungstausch: Markgrafendamm 3,Wohnungsswap.de,820,55,2,0,0,0,0,0,,0,0
Wilmersdorf,"Bundesallee 180, Wilmersdorf, Berlin",Wohnungstausch: Bundesallee 180,Wohnungsswap.de,650,53,2,0,0,0,0,0,,0,0
Friedrichshain,"Singerstraße 20, Friedrichshain, Berlin",Wohnungstausch: Singerstraße 20,Wohnungsswap.de,460,37,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Storkower Straße 57, Prenzlauer Berg, Berlin",Wohnungstausch: Storkower Straße 57,Wohnungsswap.de,890,64,3,0,0,0,0,0,,0,0
Neukölln,"Weserstraße 11, Neukölln (Ortsteil), Berlin",Wohnungstausch: Weserstraße 11,Wohnungsswap.de,590,50,2,0,0,0,1,0,,0,0
Wilmersdorf,"Bundesallee 180, Wilmersdorf, Berlin",Wohnungstausch: Bundesallee 180,Wohnungsswap.de,650,53,2,0,0,0,0,0,,0,0
Steglitz,"Althoffstraße 6, Steglitz, Berlin",Wohnungstausch: Althoffstraße 6,Wohnungsswap.de,810,71,2,0,0,0,0,0,,0,0
Wedding,"Lütticher Str. 50, Wedding, Berlin",Wohnungstausch: Lütticher Str. 50,Wohnungsswap.de,660,55,2,0,0,0,0,0,,0,0
Kreuzberg,"Mehringdamm 53, Kreuzberg, Berlin",Wohnungstausch: Mehringdamm 53,Wohnungsswap.de,910,55,2,0,0,0,0,0,,0,0
Schöneberg,"Gotenstraße 24, Schöneberg, Berlin",Wohnungstausch: Gotenstraße 24,Wohnungsswap.de,710,54,1,0,0,0,0,0,,0,0
Wilmersdorf,"Uhlandstraße 134, Wilmersdorf, Berlin",Wohnungstausch: Uhlandstraße 134,Wohnungsswap.de,770,60,2,0,0,0,0,0,,0,0
Neukölln,"Mariendorfer Weg 55, Neukölln (Ortsteil), Berlin",Wohnungstausch: Mariendorfer Weg 55,Wohnungsswap.de,1480,66,3,0,0,0,0,0,,0,0
Hellersdorf,"Tangermünder Straße 54, Hellersdorf, Berlin",Wohnungstausch: Tangermünder Straße 54,Wohnungsswap.de,410,36,1,0,0,0,0,0,,0,0
Hansaviertel,"Claudiusstraße 7, Hansaviertel, Berlin",Wohnungstausch: Claudiusstraße 7,Wohnungsswap.de,960,70,2,0,0,0,0,0,,0,0
Kreuzberg,"Naunynstraße 8, Kreuzberg, Berlin",Wohnungstausch: Naunynstraße 8,Wohnungsswap.de,450,45,1,0,0,0,1,0,,0,0
Weißensee,"Berliner Allee 13, Weißensee, Berlin",Wohnungstausch: Berliner Allee 13,Wohnungsswap.de,610,40,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Wichertstraße 45, Prenzlauer Berg, Berlin",Wohnungstausch: Wichertstraße 45,Wohnungsswap.de,1040,62,2,0,0,0,0,0,,0,0
Kreuzberg,"Lübbener Straße 13, Kreuzberg, Berlin",Wohnungstausch: Lübbener Straße 13,Wohnungsswap.de,540,28,1,0,0,0,0,0,,0,0
Schöneberg,"Neue Kulmer Straße 2, Schöneberg, Berlin",Wohnungstausch: Neue Kulmer Straße 2,Wohnungsswap.de,1040,60,2,0,0,0,1,0,,0,0
Friedrichshain,"Petersburger Straße 66, Friedrichshain, Berlin",Wohnungstausch: Petersburger Straße 66,Wohnungsswap.de,720,60,2,0,0,0,0,0,,0,0
Kreuzberg,"Oranienstraße 121, Kreuzberg, Berlin",Wohnungstausch: Oranienstraße 121,Wohnungsswap.de,720,60,3,0,0,0,0,0,,0,0
Schmargendorf,"Selchowstraße 12, Schmargendorf, Berlin",Wohnungstausch: Selchowstraße 12,Wohnungsswap.de,480,48,2,0,0,0,0,0,,0,0
Friedrichshagen,"Assmannstrasse 50, Friedrichshagen, Berlin",Luxuriöse 3 Zimmerwohnung im Neubau,Estate agent,2362.5,105,3,0,1,0,0,0,,0,0
Wilmersdorf,"Kurfürstendamm 167-168, Wilmersdorf, Berlin",Super schöne 2 Zimmer Wohnung in schöner Lage auf dem Kurfürstendamm.,Estate agent,2440,54,2,0,0,0,1,0,,0,0
Schöneberg,"Kolonnenstraße 33, Schöneberg, Berlin",Wohnungstausch: Kolonnenstraße 33,Wohnungsswap.de,790,90,3,0,0,0,0,0,,0,0
Friedrichshain,"Rigaer Straße 47, Friedrichshain, Berlin",Wohnungstausch: Rigaer Straße 47,Wohnungsswap.de,860,56,2,0,0,0,1,0,,0,0
Neukölln,"Sinsheimer Weg 5, Neukölln (Ortsteil), Berlin",Wohnungstausch: Sinsheimer Weg 5,Wohnungsswap.de,440,39,1,0,0,0,0,0,,0,0
Reinickendorf,"Quäkerstraße 35, Reinickendorf (Ortsteil), Berlin",Wohnungstausch: Quäkerstraße 35,Wohnungsswap.de,750,64,2,0,0,0,0,0,,0,0
Märkisches Viertel,"Wilhelmsruher Damm 131, Märkisches Viertel, Berlin",Wohnungstausch: Wilhelmsruher Damm 131,Wohnungsswap.de,600,65,2,0,0,0,1,0,,0,0
Mitte,"Schwartzkopffstraße 6, Mitte (Ortsteil), Berlin",Wohnungstausch: Schwartzkopffstraße 6,Wohnungsswap.de,1580,111,3,0,0,0,0,0,,0,0
Mitte,"Invalidenstraße 123, Mitte (Ortsteil), Berlin",Wohnungstausch: Invalidenstraße 123,Wohnungsswap.de,930,64,2,0,0,0,0,0,,0,0
Friedrichshain,"Neue Bahnhofstraße 31, Friedrichshain, Berlin",Wohnungstausch: Neue Bahnhofstraße 31,Wohnungsswap.de,1170,93,3,0,0,0,0,0,,0,0
Friedrichshain,"Kopernikusstraße 19, Friedrichshain, Berlin",Wohnungstausch: Kopernikusstraße 19,Wohnungsswap.de,730,41,1,0,0,0,0,0,,0,0
Neukölln,"Karl-Marx-Straße 222, Neukölln (Ortsteil), Berlin",Wohnungstausch: Karl-Marx-Straße 222,Wohnungsswap.de,770,80,3,0,0,0,1,0,,0,0
Charlottenburg,"Kamminer Straße 5, Charlottenburg, Berlin",Wohnungstausch: Kamminer Straße 5,Wohnungsswap.de,1000,60,3,0,0,0,0,0,,0,0
