district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Karlshorst,"Hönower Straße 7, Karlshorst, Berlin",Home Select M | 73m² Wohnung mit 2 Zimmern in Berlin,Estate agent,1807,72.85,2,0,0,0,0,0,,0,0
Hakenfelde,"Parkstraße 8, Hakenfelde, Berlin",Home Essential  | 84m² 3-Zimmer Wohnung in Berlin,Estate agent,2278,84,3,1,0,0,0,0,,0,0
Heinersdorf,"Prenzlauer Promenade 49 G, Heinersdorf, Berlin",Sonniger Wohntraum: Moderne 3-Zimmer-Wohnung mit Süd-Balkon & 10 Minuten vom Alexanderplatz entfernt,Estate agent,2015,84.38,3,0,1,0,0,0,,0,0
Wilmersdorf,"Lietzenburger Straße 101, Wilmersdorf, Berlin",Home Select M | 49m² Wohnung mit 2 Zimmern in Berlin,Estate agent,1800.4,49.49,2,1,1,0,0,0,,0,0
Friedrichsfelde,"Einbecker Straße 45, Friedrichsfelde, Berlin",Home Select M | 57m² Wohnung mit 3 Zimmern in Berlin,Estate agent,1597,57.19,3,1,1,0,0,0,,0,0
Adlershof,"Rudower Chaussee 5a-c, Adlershof, Berlin",***Möbliertes Premium Appartement mit Highlights im modernen Berlin-Adlershof***,Estate agent,556,22.73,1,1,0,0,1,0,,0,0
Mitte,"Mitte (Ortsteil), Berlin","Luxuriöse Penthouse-Maisonettewohnung mit Kamin, Sauna und fantastischem Weitblick",Estate agent,6720,228,6,1,0,0,0,0,,0,0
Buckow,"Parksiedlung Spruch 3 bis 137, Buckow, Berlin","Geräumige helle 2-Raumwohnung mit Wintergarten, EBK, Tiefgarage in parkähnlicher Wohnanlage",Estate agent,1014.19,63.87,2,1,0,0,0,0,,0,0
Alt-Hohenschönhausen,"Arendsweg 44, Alt-Hohenschönhausen, Berlin","Am schönsten ist es hier - bei uns zu Hause - Wohngebiet ""Weiße Taube""",Estate agent,1107.57,67.89,2,1,0,0,0,0,,0,0
Wilhelmstadt,"Brüderstraße 16, Wilhelmstadt, Berlin",Handwerkerobjekt! Renovierungsbedürftiges Apartment im Erdgeschoss!,Estate agent,382.79,38.97,1,0,0,0,0,0,,0,0
Mitte,"Hirtenstraße 16, Mitte (Ortsteil), Berlin",2-Zimmer-Hochparterre-Wohnung in Berlin Mitte,Private offer,1396,55,2,1,0,0,0,0,,0,0
Weißensee,"Roelckestraße 25, Weißensee, Berlin",Geschmackvolle 4-Raum-Wohnung mit Terrasse und Balkon und Einbauküche in Berlin,Private offer,2000,105,4,1,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",*Nur für Studenten* Möbliertes Apartment in Berlin Charlottenburg,Private offer,680,25,1,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",Schöne 2-Zimmer-Wohnung mit Balkon und EBK in Kudammm-Nähe,Private offer,764,65,2,1,0,0,0,0,,0,0
