district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
mitte,"Köpenicker Straße  43, Mitte (Ortsteil), Berlin",THE FIZZ Berlin – Vollmöbliertes Single Studio für Studenten,976.0,20.0,1.0,0,1,0,1,1,0,0,0
marzahn,"Schwarzwurzelstraße 79, Marzahn, Berlin",Besser geht es nicht für eine Single Wohnung!,445.75,43.58,1.0,1,0,0,0,0,0,0,0
schöneberg,"Menzelstraße 0, Schöneberg, Berlin","Menzelstraße, Berlin",1300.0,45.0,1.0,0,0,0,0,0,1,0,0
friedrichshain,"Boxhagener Straße 0, Friedrichshain, Berlin","Boxhagener Straße, Berlin",1990.0,75.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Forster Straße 0, Kreuzberg, Berlin","Forster Straße, Berlin",2100.0,52.0,2.0,0,0,0,0,0,0,0,0
westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",2250.0,80.0,3.0,0,0,0,0,0,0,0,0
friedrichshain,"Krossener Straße 0, Friedrichshain, Berlin","Krossener Straße, Berlin",1750.0,56.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Bismarckstraße 0, Charlottenburg, Berlin","Bismarckstraße, Berlin",1600.0,65.0,1.0,0,0,0,0,0,0,0,0
wilhelmstadt,"Pichelsdorfer Straße 133, Wilhelmstadt, Berlin",3-Zimmer Altbauwohnung mit 2 Balkonen in Wilhelmstadt,1326.03,96.58,3.0,1,0,0,0,0,0,1,0
karlshorst,"Karlshorst, Berlin",ERSTBEZUG! EXKLUSIVE ERGESCHOSSWOHNUNG IN ZENTRALER LAGE,2220.0,111.0,4.0,1,1,0,1,0,0,0,0
lankwitz,"Mühlenstr. 17, Lankwitz, Berlin",Sanierte 3-Zimmer Wohnung mit Balkon,1930.0,99.0,3.0,1,0,0,0,0,0,0,0
grünau,"Teichmummelring 55, Grünau, Berlin",hochwertig eingerichtete 2 Zi-whg-direkt an der Dahme/ Parkett/  Terrasse/ Fußbodenheizg.,1300.0,47.44,2.0,1,1,1,0,0,0,0,0
konradshöhe,"Edeltrautweg 22, Konradshöhe, Berlin",Kernsanierte 4 Zimmerwohnung - mit Wasserblick & Zugang in ruhiger Lage,2370.0,110.0,4.0,1,0,1,1,0,0,0,0
mitte,"Krausenstraße 0, Mitte (Ortsteil), Berlin","Krausenstraße, Berlin",1790.0,40.0,1.0,0,0,0,0,0,0,0,0
westend,"Nürnberger Straße 0, Westend, Berlin","Nürnberger Straße, Berlin",1850.0,68.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Eislebener Straße 0, Charlottenburg, Berlin","Eislebener Straße, Berlin",1900.0,60.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kaiser-Friedrich-Straße 0, Charlottenburg, Berlin","Kaiser-Friedrich-Straße, Berlin",2400.0,92.0,3.0,0,0,0,0,0,0,0,0
charlottenburg,"Kaiser-Friedrich-Straße 0, Charlottenburg, Berlin","Kaiser-Friedrich-Straße, Berlin",2400.0,92.0,3.0,0,0,0,0,0,0,0,0
wilmersdorf,"Spessartstraße 0, Wilmersdorf, Berlin","Spessartstraße, Berlin",1400.0,60.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Bergmannstraße 0, Kreuzberg, Berlin","Bergmannstraße, Berlin",2500.0,91.0,3.0,0,0,0,0,0,0,0,0
mitte,"Torstraße 0, Mitte (Ortsteil), Berlin","Torstraße, Berlin",2495.0,75.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Corinthstraße 0, Friedrichshain, Berlin","Corinthstraße, Berlin",2495.0,65.0,3.0,0,0,0,0,0,0,0,0
schöneberg,"Fuggerstraße 0, Schöneberg, Berlin","Fuggerstraße, Berlin",1600.0,57.0,2.0,0,0,0,0,0,0,0,0
staaken,"Fahrlander Weg 0, Staaken, Berlin","Fahrlander Weg, Berlin",1199.0,36.0,1.0,0,0,0,0,0,1,0,0
staaken,"Am Fort 0, Staaken, Berlin","Am Fort, Berlin",1199.0,36.0,1.0,0,0,0,0,0,1,0,0
charlottenburg,"Kaiserdamm 0, Charlottenburg, Berlin","Kaiserdamm, Berlin",2300.0,50.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Friedrich-Junge-Straße 0, Friedrichshain, Berlin","Friedrich-Junge-Straße, Berlin",3000.0,100.0,1.0,0,0,0,0,0,1,0,0
marienfelde,"Malteserstraße 0, Marienfelde, Berlin","Malteserstraße, Berlin",1922.0,60.0,1.0,0,0,0,0,0,0,0,0
mitte,"Bernhard-Weiß-Straße 0, Mitte (Ortsteil), Berlin","Bernhard-Weiß-Straße, Berlin",1600.0,55.0,1.0,0,0,0,0,0,1,0,0
lichtenberg,"Schulze-Boysen-Straße 71, Lichtenberg (Ortsteil), Berlin",Wohnungstausch: Schulze-Boysen-Straße 71,660.0,65.0,3.0,1,0,0,0,0,0,0,0
wedding,"Lüderitzstraße 11, Wedding, Berlin",Wohnungstausch: Lüderitzstraße 11,730.0,44.0,1.0,1,0,0,0,0,0,0,0
köpenick,"Carl-Spindler-Straße 1, Köpenick, Berlin",2 Raumwohnungen mit und ohne Wasserblick,943.5,51.0,2.0,1,0,1,0,1,0,0,0
köpenick,"Am Schloßberg 4, Köpenick, Berlin",2 Zimmerwohnung mit großzügigem Balkon in Köpenick,913.51,68.0,2.0,1,0,0,0,0,0,0,0
friedrichshain,"Friedrichshain, Berlin",Helle 1-Raumwohnung mit kleinem Balkon,1030.0,37.0,1.0,1,0,0,0,0,0,0,0
friedrichshain,"Neue Bahnhofstraße 26b, Friedrichshain, Berlin",Helle 2- Zimmer Dachgeschosswohnung in Friedrichshain!,1892.9,82.3,2.0,0,1,0,0,0,0,0,0
dahlem,"Dahlem, Berlin",Familienfreundliche 4-Zimmer Wohnung  in Zehlendorf,2737.0,143.0,4.0,1,1,0,1,0,0,0,0
tempelhof,"Tempelhof, Berlin",KEINE WG-Whg: Ehemals hochherschaftliche 6 Zi-Whg am Tempelhofer Damm,2697.44,230.0,6.0,1,0,1,0,0,0,1,0
mitte,"Bergstraße 68, Mitte (Ortsteil), Berlin",Modernes Singleapartment - vollmöbliertes Wohnen nahe Kollwitzkiez!,2480.0,73.0,2.0,1,1,1,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",Loftartige Dachgeschoss-Maisonette mit spektakulärem Blick über Berlin,5950.0,262.0,4.0,1,1,1,0,0,0,0,0
