district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
kreuzberg,"Kreuzberg, Berlin","Tauschwohnung: 1,5 Zimmer WG mit Garten in KB gg. größere",643.0,40.0,1.5,0,0,1,1,0,0,0,0
mitte,"Rochstraße 0, Mitte (Ortsteil), Berlin","Rochstraße, Berlin",1895.0,50.0,1.0,0,0,0,0,0,0,0,0
mitte,"Leipziger Straße 0, Mitte (Ortsteil), Berlin","Leipziger Straße, Berlin",1995.0,50.0,1.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",1850.0,40.0,1.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",2250.0,55.0,1.0,0,0,0,0,0,0,0,0
mitte,"Pflugstraße 0, Mitte (Ortsteil), Berlin","Pflugstraße, Berlin",2400.0,60.0,2.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",1795.0,35.0,1.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",1795.0,35.0,1.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",1795.0,35.0,1.0,0,0,0,0,0,0,0,0
mitte,"Veteranenstraße 0, Mitte (Ortsteil), Berlin","Veteranenstraße, Berlin",2250.0,50.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Oderberger Straße 0, Prenzlauer Berg, Berlin","Oderberger Straße, Berlin",2250.0,60.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Oderberger Straße 0, Prenzlauer Berg, Berlin","Oderberger Straße, Berlin",2250.0,60.0,1.0,0,0,0,0,0,0,0,0
wedding,"Ofener Straße 0, Wedding, Berlin","Ofener Straße, Berlin",2100.0,68.0,2.0,0,0,0,0,0,0,0,0
wedding,"Glasgower Straße 0, Wedding, Berlin","Glasgower Straße, Berlin",1475.0,36.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Emser Straße 0, Neukölln (Ortsteil), Berlin","Emser Straße, Berlin",1500.0,37.0,1.0,0,0,0,0,0,0,0,0
moabit,"Oldenburger Straße 0, Moabit, Berlin","Oldenburger Straße, Berlin",1800.0,58.0,1.0,0,0,0,0,0,0,0,0
wedding,"Brüsseler Straße 0, Wedding, Berlin","Brüsseler Straße, Berlin",1635.0,43.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Weserstraße 0, Neukölln (Ortsteil), Berlin","Weserstraße, Berlin",1640.0,34.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Mehringdamm 0, Kreuzberg, Berlin","Mehringdamm, Berlin",1895.0,67.0,1.0,0,0,0,0,0,0,0,0
wedding,"Glasgower Straße 0, Wedding, Berlin","Glasgower Straße, Berlin",2200.0,94.0,2.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1600.0,52.0,1.0,0,0,0,0,0,0,0,0
reinickendorf,"Friedrich-Wilhelm-Straße 0, Reinickendorf (Ortsteil), Berlin","Friedrich-Wilhelm-Straße, Berlin",2595.0,91.0,3.0,0,0,0,0,0,0,0,0
kreuzberg,"Stresemannstraße 0, Kreuzberg, Berlin","Stresemannstraße, Berlin",1600.0,50.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Oderberger Straße 0, Prenzlauer Berg, Berlin","Oderberger Straße, Berlin",1950.0,40.0,1.0,0,0,0,0,0,0,0,0
tempelhof,"Friedrich-Franz-Straße 0, Tempelhof, Berlin","Friedrich-Franz-Straße, Berlin",1900.0,126.0,3.0,0,0,0,0,0,0,0,0
wedding,"Brüsseler Straße 0, Wedding, Berlin","Brüsseler Straße, Berlin",2045.0,85.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Winsstraße 26, Prenzlauer Berg, Berlin","Wunderschöne 2 Zimmer Wohnung in beliebter Lage im  Prenzlauer Berg, zwischen vielen Grünflächen""",2150.0,57.0,2.0,1,0,0,0,1,0,0,0
charlottenburg,"Helmholtzstraße 0, Charlottenburg, Berlin","Helmholtzstraße, Berlin",1800.0,60.0,1.0,0,0,0,0,0,0,0,0
adlershof,"Erich-Thilo-Straße 0, Adlershof, Berlin","Erich-Thilo-Straße, Berlin",2730.0,59.0,1.0,0,0,0,0,0,0,0,0
adlershof,"Erich-Thilo-Straße 0, Adlershof, Berlin","Erich-Thilo-Straße, Berlin",2310.0,59.0,1.0,0,0,0,0,0,0,0,0
adlershof,"Erich-Thilo-Straße 0, Adlershof, Berlin","Erich-Thilo-Straße, Berlin",2310.0,34.0,1.0,0,0,0,0,0,0,0,0
adlershof,"Erich-Thilo-Straße 0, Adlershof, Berlin","Erich-Thilo-Straße, Berlin",1980.0,34.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Sonnenburger Straße 0, Prenzlauer Berg, Berlin","Sonnenburger Straße, Berlin",1765.0,42.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Malmöer Straße 0, Prenzlauer Berg, Berlin","Malmöer Straße, Berlin",1890.0,51.0,1.0,0,0,0,0,0,1,0,0
moabit,"Oldenburger Straße 0, Moabit, Berlin","Oldenburger Straße, Berlin",1600.0,40.0,1.0,0,0,0,0,0,0,0,0
mitte,"Französische Straße 0, Mitte (Ortsteil), Berlin","Französische Straße, Berlin",2990.0,84.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Rhinower Straße 0, Prenzlauer Berg, Berlin","Rhinower Straße, Berlin",2520.0,90.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Hertzbergstraße 0, Neukölln (Ortsteil), Berlin","Hertzbergstraße, Berlin",1590.0,46.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Martin-Luther-Straße 0, Schöneberg, Berlin","Martin-Luther-Straße, Berlin",1470.0,39.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Donaustraße 0, Neukölln (Ortsteil), Berlin","Donaustraße, Berlin",1600.0,51.0,1.0,0,0,0,0,0,0,0,0
moabit,"Huttenstraße 0, Moabit, Berlin","Huttenstraße, Berlin",1715.0,53.0,1.0,0,0,0,0,0,0,0,0
moabit,"Huttenstraße 0, Moabit, Berlin","Huttenstraße, Berlin",1550.0,35.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Jessnerstraße 0, Friedrichshain, Berlin","Jessnerstraße, Berlin",1900.0,55.0,1.0,0,0,0,0,0,1,0,0
schöneberg,"Grunewaldstraße 0, Schöneberg, Berlin","Grunewaldstraße, Berlin",2050.0,72.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Gleimstraße 0, Prenzlauer Berg, Berlin","Gleimstraße, Berlin",1700.0,33.0,1.0,0,0,0,0,0,0,0,0
wedding,"Brüsseler Straße 0, Wedding, Berlin","Brüsseler Straße, Berlin",1785.0,51.0,1.0,0,0,0,0,0,0,0,0
mitte,"Brunnenstraße 0, Mitte (Ortsteil), Berlin","Brunnenstraße, Berlin",2000.0,52.0,1.0,0,0,0,0,0,0,0,0
moabit,"Oldenburger Straße 0, Moabit, Berlin","Oldenburger Straße, Berlin",1500.0,42.0,1.0,0,0,0,0,0,0,0,0
moabit,"Huttenstraße 0, Moabit, Berlin","Huttenstraße, Berlin",1975.0,62.0,1.0,0,0,0,0,0,0,0,0
moabit,"Huttenstraße 0, Moabit, Berlin","Huttenstraße, Berlin",2750.0,102.0,3.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1605.0,35.0,1.0,0,0,0,0,0,0,0,0
mitte,"Klosterstraße 0, Mitte (Ortsteil), Berlin","Klosterstraße, Berlin",3450.0,145.0,2.0,0,0,0,0,0,0,0,0
schöneberg,"Akazienstraße 0, Schöneberg, Berlin","Akazienstraße, Berlin",1750.0,35.0,1.0,0,0,0,0,0,0,0,0
mitte,"Zionskirchstraße 0, Mitte (Ortsteil), Berlin","Zionskirchstraße, Berlin",2690.0,135.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Immanuelkirchstraße 0, Prenzlauer Berg, Berlin","Immanuelkirchstraße, Berlin",1500.0,30.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Prenzlauer Allee 0, Prenzlauer Berg, Berlin","Prenzlauer Allee, Berlin",1890.0,60.0,1.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1875.0,53.0,1.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1985.0,62.0,2.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1655.0,50.0,1.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",1735.0,56.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Emser Straße 0, Neukölln (Ortsteil), Berlin","Emser Straße, Berlin",1400.0,33.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Hobrechtstraße 0, Neukölln (Ortsteil), Berlin","Hobrechtstraße, Berlin",1715.0,40.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Hobrechtstraße 0, Neukölln (Ortsteil), Berlin","Hobrechtstraße, Berlin",1700.0,45.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Hobrechtstraße 0, Neukölln (Ortsteil), Berlin","Hobrechtstraße, Berlin",1500.0,42.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Storkower Straße 0, Prenzlauer Berg, Berlin","Storkower Straße, Berlin",1470.0,40.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Blücherstraße 0, Kreuzberg, Berlin","Blücherstraße, Berlin",1800.0,51.0,1.0,0,0,0,0,0,0,0,0
mitte,"Köpenicker Straße 0, Mitte (Ortsteil), Berlin","Köpenicker Straße, Berlin",1450.0,26.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Weinert-Straße 0, Prenzlauer Berg, Berlin","Erich-Weinert-Straße, Berlin",1095.0,31.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Gleimstraße 0, Prenzlauer Berg, Berlin","Gleimstraße, Berlin",1600.0,39.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Kopenhagener Straße 0, Prenzlauer Berg, Berlin","Kopenhagener Straße, Berlin",2000.0,33.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Pappelallee 0, Prenzlauer Berg, Berlin","Pappelallee, Berlin",1750.0,30.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Seelower Straße 0, Prenzlauer Berg, Berlin","Seelower Straße, Berlin",3200.0,75.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Rodenbergstraße 0, Prenzlauer Berg, Berlin","Rodenbergstraße, Berlin",2200.0,45.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Biebricher Straße 0, Neukölln (Ortsteil), Berlin","Biebricher Straße, Berlin",1550.0,36.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Eugen-Schönhaar-Straße 0, Prenzlauer Berg, Berlin","Eugen-Schönhaar-Straße, Berlin",2399.0,72.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Guerickestraße 0, Charlottenburg, Berlin","Guerickestraße, Berlin",1300.0,50.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Schlüterstraße 0, Charlottenburg, Berlin","Schlüterstraße, Berlin",1600.0,45.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Greifenhagener Straße 0, Prenzlauer Berg, Berlin","Greifenhagener Straße, Berlin",1700.0,51.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Heidenfeldstraße 0, Friedrichshain, Berlin","Heidenfeldstraße, Berlin",1800.0,52.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Heidenfeldstraße 0, Friedrichshain, Berlin","Heidenfeldstraße, Berlin",1750.0,45.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Pettenkoferstraße 0, Friedrichshain, Berlin","Pettenkoferstraße, Berlin",1950.0,65.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Straßmannstraße 0, Friedrichshain, Berlin","Straßmannstraße, Berlin",1550.0,44.0,1.0,0,0,0,0,0,0,0,0
tegel,"Veitstraße 0, Tegel, Berlin","Veitstraße, Berlin",1400.0,38.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Hobrechtstraße 0, Neukölln (Ortsteil), Berlin","Hobrechtstraße, Berlin",1700.0,65.0,2.0,0,0,0,0,0,0,0,0
altglienicke,"Korkedamm 0, Altglienicke, Berlin","Korkedamm, Berlin",2000.0,75.0,1.0,0,0,0,0,0,1,0,0
friedrichshain,"Heidenfeldstraße 0, Friedrichshain, Berlin","Heidenfeldstraße, Berlin",1300.0,35.0,1.0,0,0,0,0,0,1,0,0
staaken,"Am Fort 0, Staaken, Berlin","Am Fort, Berlin",990.0,42.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Blücherstraße 0, Kreuzberg, Berlin","Blücherstraße, Berlin",2650.0,85.0,2.0,0,0,0,0,0,0,0,0
schmöckwitz,"Seddinpromenade 0, Schmöckwitz, Berlin","Seddinpromenade, Berlin",929.0,29.0,1.0,0,0,0,0,0,0,0,0
mitte,"Wöhlertstraße 0, Mitte (Ortsteil), Berlin","Wöhlertstraße, Berlin",1750.0,60.0,1.0,0,0,0,0,0,1,0,0
schmöckwitz,"Seddinpromenade 0, Schmöckwitz, Berlin","Seddinpromenade, Berlin",1129.0,39.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Scharnweberstraße 0, Friedrichshain, Berlin","Scharnweberstraße, Berlin",1349.0,46.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Heimstraße 0, Kreuzberg, Berlin","Heimstraße, Berlin",1180.0,33.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kurfürstendamm 0, Charlottenburg, Berlin","Kurfürstendamm, Berlin",1400.0,42.0,1.0,0,0,0,0,0,1,0,0
friedrichshagen,"Bölschestrasse 27, Friedrichshagen, Berlin","Exklusive 3-Zimmer-DG-Wohnung, mit Aufzug, möbliert/teilmöbliert",2824.0,110.0,3.0,1,1,1,0,0,0,0,0
mitte,"Unter den Linden 39, Mitte (Ortsteil), Berlin","Exklusives möbliert Wohnen in Berlin - Unter den Linden, Mitte - Penthouse",3650.0,80.06,2.0,1,1,0,0,1,0,0,0
prenzlauer berg,"Prenzlauer Berg, Berlin",Tauschwohnung: 3 Zi. Dachgeschoss im PBerg gg. größere Wohnung im Südwesten,1920.0,120.0,3.0,1,1,1,0,0,0,0,0
mariendorf,"Mariendorf, Berlin",Tauschwohnung: Altb 2 Zimmer Wohnung gegen 3-4 Zimmer Wohnung,630.0,75.0,2.0,1,1,0,1,0,0,0,0
reinickendorf,"Hechesltr. 33, Reinickendorf (Ortsteil), Berlin",Exclusive 2-Zimmer-Wohnung mit 2 Balkonen und Stellplatz in Berlin,1800.0,60.0,2.0,1,1,0,1,0,0,0,0
wedding,"Wedding, Berlin","-Nähe Nordufer/ City-Wohnung mit Lift, Terrasse u.Parkett (Teilmöbliert)-",2500.0,99.86,4.0,1,1,0,0,0,0,1,0
prenzlauer berg,"Greifenhagener Straße 0, Prenzlauer Berg, Berlin","Greifenhagener Straße, Berlin",3500.0,120.0,3.0,0,0,0,0,0,0,0,0
friedrichshain,"Bödikerstraße 0, Friedrichshain, Berlin","Bödikerstraße, Berlin",2231.0,44.0,2.0,0,0,0,0,0,0,0,0
moabit,"Waldstraße 0, Moabit, Berlin","Waldstraße, Berlin",2250.0,42.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kaiser-Friedrich-Straße 0, Charlottenburg, Berlin","Kaiser-Friedrich-Straße, Berlin",2300.0,65.0,1.0,0,0,0,0,0,0,0,0
halensee,"Heilbronner Straße 0, Halensee, Berlin","Heilbronner Straße, Berlin",1690.0,58.0,1.0,0,0,0,0,0,0,0,0
tiergarten,"Körnerstraße 0, Tiergarten, Berlin","Körnerstraße, Berlin",1450.0,52.0,1.0,0,0,0,0,0,0,0,0
mitte,"Alte Jakobstraße 0, Mitte (Ortsteil), Berlin","Alte Jakobstraße, Berlin",1890.0,42.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Wrangelstraße 0, Kreuzberg, Berlin","Wrangelstraße, Berlin",1100.0,42.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Goebenstraße 14, Schöneberg, Berlin",3 rooms apartment with office in Charlottenburg  (Berlin),2545.0,60.0,3.0,0,1,0,0,1,0,0,0
wilmersdorf,"Uhlandstraße 0, Wilmersdorf, Berlin","Uhlandstraße, Berlin",1950.0,67.0,1.0,0,0,0,0,0,1,0,0
friedrichshain,"Pettenkoferstraße 0, Friedrichshain, Berlin","Pettenkoferstraße, Berlin",1530.0,38.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Pettenkoferstraße 0, Friedrichshain, Berlin","Pettenkoferstraße, Berlin",1530.0,38.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Winterfeldtstraße 0, Schöneberg, Berlin","Winterfeldtstraße, Berlin",11390.0,160.0,3.0,0,0,0,0,0,0,0,0
schöneberg,"Winterfeldtstraße 0, Schöneberg, Berlin","Winterfeldtstraße, Berlin",8550.0,65.0,2.0,0,0,0,0,0,0,0,0
schöneberg,"Winterfeldtstraße 0, Schöneberg, Berlin","Winterfeldtstraße, Berlin",6890.0,65.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Winterfeldtstraße 0, Schöneberg, Berlin","Winterfeldtstraße, Berlin",5490.0,30.0,1.0,0,0,0,0,0,0,0,0
tiergarten,"Gabriele-Tergit-Promenade 0, Tiergarten, Berlin","Gabriele-Tergit-Promenade, Berlin",3200.0,85.0,2.0,0,0,0,0,0,1,0,0
mitte,"Leipziger Straße 0, Mitte (Ortsteil), Berlin","Leipziger Straße, Berlin",1690.0,50.0,1.0,0,0,0,0,0,1,0,0
wilmersdorf,"Wittelsbacherstraße 0, Wilmersdorf, Berlin","Wittelsbacherstraße, Berlin",1400.0,35.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Wattstraße 0, Gesundbrunnen, Berlin","Wattstraße, Berlin",2095.0,72.0,2.0,0,0,0,0,0,0,0,0
lichterfelde,"Billy-Wilder-Promenade 0, Lichterfelde, Berlin","Billy-Wilder-Promenade, Berlin",1490.0,60.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Storkower Straße 0, Prenzlauer Berg, Berlin","Storkower Straße, Berlin",1590.0,38.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Osnabrücker Straße 0, Charlottenburg, Berlin","Osnabrücker Straße, Berlin",1975.0,53.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Osnabrücker Straße 0, Charlottenburg, Berlin","Osnabrücker Straße, Berlin",1145.0,30.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Osnabrücker Straße 0, Charlottenburg, Berlin","Osnabrücker Straße, Berlin",1495.0,31.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Nostitzstraße 0, Kreuzberg, Berlin","Nostitzstraße, Berlin",1750.0,62.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Andreasstraße 0, Friedrichshain, Berlin","Andreasstraße, Berlin",2600.0,61.0,1.0,0,0,0,0,0,1,0,0
charlottenburg,"Rückertstraße 0, Charlottenburg, Berlin","Rückertstraße, Berlin",1300.0,23.0,1.0,0,0,0,0,0,0,0,0
tempelhof,"Alarichstraße 0, Tempelhof, Berlin","Alarichstraße, Berlin",1750.0,77.0,3.0,0,0,0,0,0,0,0,0
bohnsdorf,"Zur Gartenstadt 0, Bohnsdorf, Berlin","Zur Gartenstadt, Berlin",890.0,14.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Osnabrücker Straße 0, Charlottenburg, Berlin","Osnabrücker Straße, Berlin",1395.0,26.0,1.0,0,0,0,0,0,0,0,0
steglitz,"Schloßstraße 0, Steglitz, Berlin","Schloßstraße, Berlin",1800.0,41.0,1.0,0,0,0,0,0,0,0,0
mitte,"Novalisstraße 0, Mitte (Ortsteil), Berlin","Novalisstraße, Berlin",2490.0,40.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Mariannenplatz 0, Kreuzberg, Berlin","Mariannenplatz, Berlin",1700.0,25.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Mariannenplatz 0, Kreuzberg, Berlin","Mariannenplatz, Berlin",1700.0,25.0,1.0,0,0,0,0,0,0,0,0
mitte,"Gartenstraße 0, Mitte (Ortsteil), Berlin","Gartenstraße, Berlin",2600.0,72.0,1.0,0,0,0,0,0,1,0,0
mitte,"Schröderstraße 0, Mitte (Ortsteil), Berlin","Schröderstraße, Berlin",2500.0,72.0,1.0,0,0,0,0,0,1,0,0
friedrichshain,"Löwestraße 0, Friedrichshain, Berlin","Löwestraße, Berlin",3850.0,165.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Mariannenplatz 0, Kreuzberg, Berlin","Mariannenplatz, Berlin",1700.0,25.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Roscherstraße 0, Charlottenburg, Berlin","Roscherstraße, Berlin",1090.0,28.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Osnabrücker Straße 0, Charlottenburg, Berlin","Osnabrücker Straße, Berlin",1195.0,25.0,1.0,0,0,0,0,0,0,0,0
moabit,"Keithstraße 0, Moabit, Berlin","Keithstraße, Berlin",990.0,24.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kaiserdamm 0, Charlottenburg, Berlin","Kaiserdamm, Berlin",1760.0,75.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Danziger Straße 0, Prenzlauer Berg, Berlin","Danziger Straße, Berlin",1890.0,65.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Oderstraße 0, Friedrichshain, Berlin","Oderstraße, Berlin",1920.0,58.0,2.0,0,0,0,0,0,0,0,0
oberschöneweide,"Deulstraße 0, Oberschöneweide, Berlin","Deulstraße, Berlin",851.0,20.0,1.0,0,0,0,0,0,0,0,0
adlershof,"Zinsgutstraße 0, Adlershof, Berlin","Zinsgutstraße, Berlin",1450.0,68.0,3.0,0,0,0,0,0,0,0,0
charlottenburg,"Gervinusstraße 0, Charlottenburg, Berlin","Gervinusstraße, Berlin",2990.0,87.0,2.0,0,0,0,0,0,1,0,0
altglienicke,"Korkedamm 0, Altglienicke, Berlin","Korkedamm, Berlin",1900.0,72.0,1.0,0,0,0,0,0,0,0,0
lichtenrade,"Werfelstraße 0, Lichtenrade, Berlin","Werfelstraße, Berlin",1500.0,50.0,1.0,0,0,0,0,0,0,0,0
bohnsdorf,"Zur Gartenstadt 0, Bohnsdorf, Berlin","Zur Gartenstadt, Berlin",1300.0,27.0,1.0,0,0,0,0,0,0,0,0
wilhelmstadt,"Weinmeisterhornweg 0, Wilhelmstadt, Berlin","Weinmeisterhornweg, Berlin",950.0,35.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Straßmannstraße 0, Friedrichshain, Berlin","Straßmannstraße, Berlin",1550.0,44.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Schivelbeiner Straße 0, Prenzlauer Berg, Berlin","Schivelbeiner Straße, Berlin",1589.0,40.0,1.0,0,0,0,0,0,0,0,0
johannisthal,"Herrenhausstraße 0, Johannisthal, Berlin","Herrenhausstraße, Berlin",1590.0,77.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Richard-Wagner-Straße 0, Charlottenburg, Berlin","Richard-Wagner-Straße, Berlin",1640.0,62.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Olbersstraße 0, Charlottenburg, Berlin","Olbersstraße, Berlin",1300.0,40.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Friedrich-Junge-Straße 0, Friedrichshain, Berlin","Friedrich-Junge-Straße, Berlin",1990.0,65.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Friedrich-Junge-Straße 0, Friedrichshain, Berlin","Friedrich-Junge-Straße, Berlin",1990.0,76.0,2.0,0,0,0,0,0,0,0,0
mitte,"Ifflandstraße 0, Mitte (Ortsteil), Berlin","Ifflandstraße, Berlin",1990.0,78.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Boltze-Straße 0, Prenzlauer Berg, Berlin","Erich-Boltze-Straße, Berlin",1590.0,48.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Boltze-Straße 0, Prenzlauer Berg, Berlin","Erich-Boltze-Straße, Berlin",1590.0,48.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Spichernstraße 0, Wilmersdorf, Berlin","Spichernstraße, Berlin",1750.0,65.0,1.0,0,0,0,0,0,1,0,0
kreuzberg,"Körtestraße 0, Kreuzberg, Berlin","Körtestraße, Berlin",1720.0,60.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Otto-Suhr-Allee 116, Charlottenburg, Berlin",Mini-Apartment am Schloss Charlottenburg!,811.83,26.22,1.0,0,0,1,0,1,0,0,0
hakenfelde,"Wilhelmstraße 0, Hakenfelde, Berlin","Wilhelmstraße, Berlin",600.0,62.0,1.0,0,0,0,0,0,0,0,0
mitte,"Rheinsberger Straße 0, Mitte (Ortsteil), Berlin","Rheinsberger Straße, Berlin",1350.0,38.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Mühsamstraße 0, Friedrichshain, Berlin","Mühsamstraße, Berlin",2745.0,121.0,2.0,0,0,0,0,0,0,0,0
alt-treptow,"Karl-Kunger-Straße 0, Alt-Treptow, Berlin","Karl-Kunger-Straße, Berlin",2795.0,79.0,1.0,0,0,0,0,0,1,0,0
prenzlauer berg,"Knaackstraße 0, Prenzlauer Berg, Berlin","Knaackstraße, Berlin",2200.0,59.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Otto-Suhr-Allee 0, Charlottenburg, Berlin","Otto-Suhr-Allee, Berlin",1450.0,47.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Danneckerstraße 0, Friedrichshain, Berlin","Danneckerstraße, Berlin",1590.0,34.0,1.0,0,0,0,0,0,0,0,0
reinickendorf,"Emmentaler Straße 0, Reinickendorf (Ortsteil), Berlin","Emmentaler Straße, Berlin",1899.0,70.0,2.0,0,0,0,0,0,0,0,0
moabit,"Wiclefstraße 0, Moabit, Berlin","Wiclefstraße, Berlin",1450.0,45.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Kreuzbergstraße 0, Kreuzberg, Berlin","Kreuzbergstraße, Berlin",1550.0,57.0,1.0,0,0,0,0,0,0,0,0
niederschönhausen,"Heegermühler Weg 0, Niederschönhausen, Berlin","Heegermühler Weg, Berlin",1300.0,42.0,1.0,0,0,0,0,0,0,0,0
westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",2300.0,75.0,3.0,0,0,0,0,0,1,0,0
kreuzberg,"Lübbener Straße 0, Kreuzberg, Berlin","Lübbener Straße, Berlin",2250.0,55.0,1.0,0,0,0,0,0,0,0,0
